,Food,Size,Calories,Fat,Carbs,Fiber,Protein,Sodium, 
247,Nitro Cold Brew,Tall,5,0,0,0,0,10,
248,,Grande,5,0,0,0,0,10,
249,Nitro Cold Brew with Sweet Cream,Tall,70,5,5,0,1,15,
250,,Grande,70,5,5,0,1,20,
251,Pike Place® Roast,Short,5,0,0,0,0,5,
252,,Tall,5,0,0,0,0,10,
253,,Grande,5,0,0,0,1,10,
254,,Venti,5,0,0,0,1,10,
255,Vanilla Sweet Cream Cold Brew,Tall,100,6,12,0,1,20,
256,,Grande,110,6,14,0,1,25,
257,,Venti Iced 24oz,200,11,24,0,1,40,
258,,Trenta Iced,210,11,26,0,2,45,
259,Caffè Misto w/ Almond,Short,30,2,2,0,1,50,
260,,Tall,40,2.5,3,1,1,75,
261,,Grande,50,3.5,4,1,2,95,
262,,Venti,60,3.5,4,1,2,100,
263,Iced Coffee w/ Almond,Tall,15,1,1,0,0,30,
264,,Grande,20,1,1,0,1,40,
265,,Venti Iced 24oz,30,1.5,2,0,1,60,
266,,Trenta,35,2.5,3,1,1,75,
267,Nariño 70 Cold Brew w/ Almond,Tall,10,0.5,1,0,0,25,
268,,Grande,15,1,1,0,1,35,
269,,Venti Iced 24oz,30,1.5,2,0,1,55,
270,,Trenta,35,2,3,1,1,75,
271,Toasted Coconut Cold Brew w/ Almond,Tall,40,0.5,8,0,0,25,
272,,Grande,50,0.5,10,0,0,25,
273,,Venti Iced 24oz,80,1,16,0,1,45,
274,,Trenta,90,1,18,0,1,50,
275,Caffè Misto w/ Coconut,Short,40,2.5,4,0,0,45,
276,,Tall,60,3.5,6,0,1,70,
277,,Grande,70,4.5,7,0,1,90,
278,,Venti,80,5,7,0,1,90,
279,Iced Coffee w/ Coconut,Tall,20,1,2,0,0,20,
280,,Grande,25,1.5,2,0,0,30,
281,,Venti Iced 24oz,40,2.5,3,0,1,45,
282,,Trenta,50,3,5,0,1,60,
283,Nariño 70 Cold Brew w/ Coconut,Tall,15,1,1,0,0,25,
284,,Grande,25,1.5,2,0,0,35,
285,,Venti Iced 24oz,35,2,3,0,0,55,
286,,Trenta,50,3,4,0,1,70,
287,Toasted Coconut Cold Brew w/ Coconut,Tall,40,0.5,8,0,0,20,
288,,Grande,50,0.5,11,0,0,25,
289,,Venti Iced 24oz,80,1.5,17,0,0,45,
290,,Trenta,100,1.5,19,0,0,45,
291,Caffè Misto w/ Nonfat milk,Short,35,0,5,0,4,45,
292,,Tall,60,0,8,0,6,70,
293,,Grande,70,0,10,0,7,90,
294,,Venti,90,0,13,0,9,115,
295,Iced Coffee w/ Nonfat Milk,Tall,20,0,2,0,2,25,
296,,Grande,25,0,3,0,2,30,
297,,Venti Iced 24oz,40,0,5,0,4,50,
298,,Trenta,50,0,7,0,5,65,
299,Nariño 70 Cold Brew w/ Nonfat Milk,Tall,15,0,2,0,2,25,
300,,Grande,25,0,3,0,2,35,
301,,Venti Iced 24oz,40,0,5,0,4,60,
302,,Trenta,50,0,7,0,5,75,
303,Toasted Coconut Cold Brew w/ Nonfat Milk,Tall,40,0,9,0,1,20,
304,,Grande,50,0,11,0,1,25,
305,,Venti Iced 24oz,80,0,18,0,2,45,
306,,Trenta,100,0,20,0,2,50,
307,Caffè Misto w/ Whole milk,Short,70,3.5,5,0,3,50,
308,,Tall,100,5,8,0,5,70,
309,,Grande,130,7,10,0,7,95,
310,,Venti,160,9,13,0,9,120,
311,Iced Coffee w/ Whole milk,Tall,30,1.5,2,0,2,25,
312,,Grande,40,2,3,0,2,30,
313,,Venti Iced 24oz,70,3.5,5,0,4,50,
314,,Trenta,90,4.5,7,0,5,65,
315,Nariño 70 Cold Brew w/ Whole milk,Tall,30,1.5,2,0,1,25,
316,,Grande,40,2,3,0,2,35,
317,,Venti Iced 24oz,70,3.5,5,0,3,60,
318,,Trenta,90,4.5,6,0,4,75,
319,Toasted Coconut Cold Brew w/ Whole milk,Tall,50,1,9,0,1,25,
320,,Grande,60,1,11,0,1,25,
321,,Venti Iced 24oz,100,2,18,0,2,45,
322,,Trenta,110,2,20,0,2,50,
323,Caffè Misto w/ 2% Milk,Short,50,2,5,0,4,50,
324,,Tall,80,3,8,0,5,80,
325,,Grande,110,4,10,0,7,100,
326,,Venti,130,5,13,0,9,130,
327,Iced Coffee w/ 2% Milk,Tall,25,1,2,0,2,25,
328,,Grande,35,1.5,3,0,2,35,
329,,Venti Iced 24oz,60,2,5,0,4,55,
330,,Trenta,70,3,7,0,5,70,
331,Nariño 70 Cold Brew w/ 2% Milk,Tall,25,1,2,0,2,30,
332,,Grande,35,1,3,0,2,40,
333,,Venti Iced 24oz,50,2,5,0,4,65,
334,,Trenta,70,2.5,6,0,5,80,
335,Toasted Coconut Cold Brew w/ 2% Milk,Tall,45,0.5,9,0,1,25,
336,,Grande,60,0.5,11,0,1,25,
337,,Venti Iced 24oz,90,1.5,18,0,2,50,
338,,Trenta,110,1.5,20,0,2,50,
339,Caffè Misto w/ Soy,Short,50,1.5,6,0,3,40,
340,,Tall,80,2.5,10,1,4,60,
341,,Grande,100,3,13,1,6,80,
342,,Venti,130,4,16,1,7,100,
343,Iced Coffee w/ Soy,Tall,25,1,3,0,2,20,
