,Food,Size,Calories,Fat,Carbs,Protein
434,Spaghetti with Meat Sauce and Meatballs w/ Garlic Bread,,1350,66g,128g,59g
435,Spaghetti with Meat Sauce w/ Garlic Bread,,1030,43g,120g,39g
436,"Spaghetti with Meat Sauce, Meatballs, and Mushrooms w/ Garlic Bread",,1360,66g,130g,60g
437,Kid's Bone Out Wings (Garlic Parmesan) w/ Straight-Cut Fries,,880,51g,86g,19g
438,Kid's Bone Out Wings (Naked) w/ Straight-Cut Fries,,730,36g,85g,17g
439,Kid's Meatless Spaghetti w/ Garlic Bread,,430,12g,66g,14g
440,Kid's Meatless Spaghetti w/ Meatballs w/ Garlic Bread,,640,27g,71g,27g
441,Kid's Spaghetti w/ Meat Sauce w/ Garlic Bread,,610,28g,68g,22g
442,Kid's Spaghetti w/ Meat Sauce w/ Meatballs w/ Garlic Bread,,820,43g,73g,36g
443,Kids Sauteed Spaghetti with Marinara w/ Garlic Bread,,560,28g,64g,14g
444,Kids Sauteed Spaghetti with Meat Sauce w/ Garlic Bread,,620,33g,64g,18g
445,Asian Salad w/o Dressing,Entree,330,15g,24g,30g
446,Athenian Salad w/o Dressing,Entree,560,29g,40g,36g
447,BLT Salad w/o Dressing,Entree,400,26g,26g,17g
448,Buffalo Chicken Salad *Local Specialty* w/o Dressing,Entree,730,34g,75g,36g
449,Chicken Caesar Salad w/o Dressing,Entree,470,25g,27g,35g
