,Food,Serving Size,Calories,Fat,Carbs,Protein
786,,Medium,430,3.5,94,7
787,,Small,290,14,161,9
788,Tropical Mango Smoothie,Large,590,4.5,131,9
789,,Medium,440,3,98,7
790,,Small,290,2,65,5
791,Coffee Coolatta Float,1 Size,350,18,43,7
792,Extra Thick Shake - Chocolate,1 Size,620,20,92,19
793,Extra Thick Shake - Coffee,1 Size,460,19,55,18
794,Extra Thick Shake - Vanilla,1 Size,460,19,54,18
795,M&M® Mix-In,1 Serving,660,27,89,16
796,OREO® Mix-In,1 Serving,510,21,70,14
797,Soft Serve Cone,1 Cone,260,9,35,9
798,Strawberry Coolatta Float,1 Size,280,6,49,5
799,Turbo ShotTM Small,Single Shot,5,0,1,0
